label	seq	secs	Mops	get_s	set_s	busy	Gv3_avg	Gv3_p50	Gv3_p99	Gadmit	Gv2	Gxfer	Gcrypto	Gsync	Sv3_avg	Sv3_p50	Sv3_p99	Sadmit	Sv2	Sret	Sxfer	Scrypto	srv	srv_p50	srv_p99	que	bk	err5	badcrc	hit_pct
SF3-P	20	176.7	9.819	8836842	981871	29.9	25.16	0.0	90.9	10.42	14.75	11.63	0.62	0.03	9.36	0.0	31.7	0.57	8.13	0.65	6.68	0.90	1650.95	1573.7	18446744073709552.0	333.70	1316.46	0	9	100.00
SF3-P	21	178.2	5.619	0	5618534	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.11	0.0	32.9	0.67	7.31	0.13	5.66	1.00	2478.71	2371.3	18446744073709552.0	447.72	2029.83	0	0	0.00
SF3-P	22	177.3	12.420	12419595	0	29.9	23.21	0.0	61.5	5.04	18.17	15.24	0.57	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	1200.43	1153.9	2321.2	231.20	968.60	0	0	100.00
SF3-P	23	177.8	7.250	6525278	725031	27.3	27.41	0.0	104.7	11.76	15.65	12.53	0.61	0.03	9.33	0.0	32.9	0.86	8.03	0.45	6.64	0.85	2815.69	2599.4	18446744073709552.0	496.14	2318.76	0	2	100.00
SF3-P	24	177.1	5.613	0	5613114	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.13	0.0	32.9	0.68	7.32	0.13	5.67	1.00	2484.54	2306.7	18446744073709552.0	448.49	2034.88	0	0	0.00
SF3-E	1	177.2	12.216	12215782	0	28.8	22.00	0.0	57.7	3.67	18.32	15.29	0.59	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	1107.37	1060.2	18446744073709552.0	446.11	660.60	0	0	100.00
SF3-E	2	176.5	10.533	9479687	1053299	29.9	21.11	0.0	60.1	8.34	12.77	9.76	0.61	0.03	9.19	0.0	33.1	0.54	7.96	0.69	6.50	0.91	1354.72	1325.1	2241.9	578.50	775.47	0	17	100.00
SF3-E	3	176.8	5.359	0	5358731	26.0	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	7.91	0.0	27.6	0.56	6.47	0.88	4.86	0.98	1024.55	884.6	1077.1	411.28	612.20	0	0	0.00
SF3-E	4	177.3	13.447	13446646	0	29.2	20.79	0.0	51.3	3.56	17.23	14.32	0.57	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	574.14	522.4	1443.8	219.29	354.23	0	0	100.00
SF3-E	5	176.8	10.454	9408434	1045382	29.8	21.68	0.0	59.1	8.64	13.04	10.02	0.61	0.03	9.28	0.0	31.7	0.55	8.04	0.70	6.55	0.93	1097.06	1053.1	2413.5	435.88	660.41	0	15	100.00
SF3-E	6	177.9	5.757	0	5756708	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	7.90	0.0	34.6	0.63	7.14	0.13	5.45	1.02	1443.88	1494.7	2159.9	443.26	999.48	0	0	0.00
SF3-E	7	176.9	12.512	12511977	0	29.9	22.67	0.0	83.1	4.87	17.80	14.83	0.58	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	541.62	520.4	1013.3	113.42	427.57	0	0	100.00
SF3-E	8	177.6	10.493	9444111	1049346	29.9	23.34	0.0	135.7	9.67	13.68	10.62	0.61	0.03	9.04	0.0	31.4	0.53	7.93	0.58	6.46	0.91	656.54	623.0	1255.2	148.05	507.74	0	13	100.00
SF3-E	9	177.0	5.597	0	5596621	29.9	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.13	0.0	32.7	0.68	7.33	0.13	5.67	1.00	2338.28	2152.6	18446744073709552.0	435.61	1901.49	0	0	0.00
SF3-E	10	177.0	11.590	11590485	0	30.0	24.66	0.0	107.3	5.85	18.82	15.72	0.60	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	579.27	560.9	1056.7	61.50	517.11	0	0	100.00
SF3-E	11	177.9	9.812	8831182	981242	29.9	25.63	0.0	214.3	10.73	14.90	11.75	0.62	0.03	9.25	0.0	32.3	0.54	8.10	0.62	6.61	0.93	660.53	636.1	1237.7	75.90	583.87	0	11	100.00
SF3-E	12	177.5	5.634	0	5633542	29.9	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.12	0.0	36.9	0.67	7.33	0.13	5.66	1.00	1994.97	1967.9	18446744073709552.0	299.70	1694.13	0	0	0.00
SF3-E	13	177.7	9.409	9408899	0	29.9	29.63	0.0	131.9	8.12	21.51	18.09	0.66	0.04	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	742.54	724.0	1278.3	35.98	705.81	0	0	100.00
SF3-E	14	177.6	8.295	7465445	829494	30.0	30.27	0.0	355.3	12.85	17.42	13.96	0.68	0.03	9.95	0.0	37.2	0.57	8.70	0.68	7.17	0.97	833.84	811.3	1542.6	49.28	783.70	0	7	100.00
SF3-E	15	177.5	5.237	0	5236784	29.9	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.65	0.0	39.0	0.70	7.81	0.13	6.12	1.02	2465.55	2402.7	18446744073709552.0	154.86	2309.47	0	0	0.00
SF3-E	16	177.6	8.528	8528021	0	29.9	32.25	0.0	82.6	9.58	22.66	19.20	0.66	0.04	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	1481.97	1479.9	2424.0	33.52	1447.67	0	0	100.00
SF3-E	17	177.4	7.570	6812824	756980	30.0	33.36	0.0	105.5	14.39	18.98	15.44	0.69	0.04	10.09	0.0	38.4	0.60	8.82	0.66	7.34	0.94	1666.77	1649.4	2810.4	40.51	1625.36	0	4	100.00
SF3-E	18	177.4	5.053	0	5052671	29.9	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.84	0.0	31.4	0.70	8.01	0.13	6.34	1.01	2292.86	2226.8	18446744073709552.0	76.01	2215.60	0	0	0.00
SF3-E	19	176.9	6.183	6182835	0	29.8	39.97	0.0	98.7	12.58	27.39	23.44	0.75	0.04	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	2252.72	2286.1	18446744073709552.0	18.58	2233.22	0	0	100.00
SF3-E	20	176.8	5.759	5182797	575866	29.8	43.37	0.0	117.8	18.77	24.60	20.59	0.77	0.04	11.36	0.0	47.7	0.66	9.74	0.96	8.19	1.01	2365.69	2385.1	18446744073709552.0	22.55	2342.11	0	4	100.00
SF3-E	21	176.6	4.350	0	4350186	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	9.85	0.0	35.3	0.75	8.96	0.14	7.28	1.03	3096.97	3053.1	18446744073709552.0	38.80	3056.77	0	0	0.00
SF3-E	22	177.4	4.495	4495431	0	29.5	52.23	0.0	145.8	18.08	34.14	29.65	0.85	0.05	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	2592.36	2558.5	18446744073709552.0	10.39	2580.88	0	0	100.00
SF3-E	23	176.7	4.204	3783980	420442	29.7	56.21	0.0	164.2	25.01	31.19	26.65	0.86	0.05	12.99	0.0	62.7	0.73	10.77	1.49	9.15	1.08	2943.09	2929.8	18446744073709552.0	12.32	2929.57	0	3	100.00
SF3-E	24	177.3	3.441	0	3441299	29.6	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	11.57	0.0	44.4	0.83	10.60	0.14	8.91	1.06	4035.87	3276.7	18446744073709552.0	19.50	4014.76	0	0	0.00
SF3-D8	1	177.6	13.591	13591327	0	29.9	20.82	0.0	77.0	4.61	16.20	13.59	0.50	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	507.32	487.2	900.7	99.76	406.98	0	0	100.00
SF3-D8	2	177.4	11.187	10068490	1118721	29.9	21.93	0.0	141.7	9.14	12.79	9.96	0.55	0.03	8.38	0.0	29.8	0.51	7.49	0.38	6.06	0.88	609.80	588.5	1106.9	131.53	477.57	0	13	100.00
SF3-D8	3	176.7	6.030	0	6029572	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	7.61	0.0	28.9	0.62	6.86	0.12	5.22	0.98	1900.73	1981.4	18446744073709552.0	579.22	1320.44	0	0	0.00
SF3-D16	1	177.6	13.516	13515672	0	29.9	20.88	0.0	74.7	4.61	16.27	13.65	0.51	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	516.74	498.2	960.0	105.80	410.36	0	0	100.00
SF3-D16	2	176.4	11.056	9950032	1105559	29.9	22.12	0.0	130.4	9.21	12.91	10.06	0.55	0.03	8.42	0.0	30.1	0.51	7.51	0.40	6.08	0.88	628.16	594.5	1197.8	138.22	489.23	0	16	100.00
SF3-D16	3	176.7	5.990	0	5989596	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	7.65	0.0	29.5	0.63	6.90	0.12	5.25	0.98	1913.82	1996.0	18446744073709552.0	582.02	1330.74	0	0	0.00
SF3-D24	1	177.7	13.205	13205338	0	29.9	21.29	0.0	76.7	4.71	16.58	13.90	0.52	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	521.83	503.4	981.2	109.70	411.53	0	0	100.00
SF3-D24	2	176.5	10.915	9823281	1091476	29.9	22.40	0.0	128.9	9.33	13.07	10.19	0.56	0.03	8.53	0.0	30.3	0.52	7.59	0.42	6.15	0.89	653.54	620.8	1253.6	148.45	504.38	0	7	100.00
SF3-D24	3	176.7	5.974	0	5974144	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	7.67	0.0	29.3	0.63	6.91	0.12	5.26	0.99	1917.56	2015.9	18446744073709552.0	582.79	1333.70	0	0	0.00
SF3-D32	1	176.6	13.352	13351827	0	29.9	21.04	0.0	79.0	4.67	16.37	13.78	0.50	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	512.23	492.2	958.7	106.57	405.06	0	0	100.00
SF3-D32	2	177.6	10.932	9838443	1093160	29.9	22.27	0.0	134.0	9.30	12.97	10.18	0.54	0.03	8.39	0.0	30.1	0.52	7.45	0.42	6.01	0.89	640.98	611.0	1218.8	143.76	496.50	0	8	100.00
SF3-D32	3	177.8	5.959	0	5958996	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	7.66	0.0	30.0	0.63	6.91	0.12	5.26	0.99	1917.89	1961.6	18446744073709552.0	582.08	1334.74	0	0	0.00
SF3-D48	1	177.8	12.781	12780513	0	29.9	22.11	0.0	80.8	4.78	17.32	14.42	0.56	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	535.16	515.9	1001.8	111.20	423.35	0	0	100.00
SF3-D48	2	177.5	10.667	9600373	1066708	29.9	22.90	0.0	138.4	9.50	13.40	10.43	0.58	0.03	8.76	0.0	31.5	0.52	7.73	0.50	6.28	0.90	644.45	613.6	1229.9	144.67	499.05	0	11	100.00
SF3-D48	3	178.0	5.717	0	5716619	29.7	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	7.96	0.0	30.9	0.68	7.16	0.12	5.54	0.97	2730.43	2516.6	18446744073709552.0	525.15	2204.16	0	0	0.00
SF3-D64	1	176.8	12.496	12496156	0	29.9	22.64	0.0	84.9	4.87	17.77	14.80	0.58	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	542.97	521.2	1025.0	113.11	429.24	0	0	100.00
SF3-D64	2	177.6	10.453	9407430	1045270	29.9	23.37	0.0	143.7	9.69	13.68	10.63	0.61	0.03	9.02	0.0	31.5	0.53	7.91	0.58	6.45	0.91	662.64	629.8	1263.6	147.46	514.44	0	9	100.00
SF3-D64	3	177.0	5.592	0	5591864	29.9	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.14	0.0	32.9	0.68	7.33	0.13	5.68	1.00	2343.49	2155.2	18446744073709552.0	435.90	1906.41	0	0	0.00
SF3-D96	1	178.0	11.983	11982570	0	29.9	23.52	0.0	85.5	5.00	18.51	15.40	0.61	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	558.92	538.0	1044.9	115.83	442.45	0	0	100.00
SF3-D96	2	177.8	10.091	9082240	1009138	29.9	24.13	0.0	152.5	9.99	14.14	11.01	0.63	0.03	9.35	0.0	32.3	0.54	8.12	0.70	6.62	0.94	686.97	651.1	1328.0	151.39	534.82	0	7	100.00
SF3-D96	3	176.6	5.471	0	5470586	29.9	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.31	0.0	34.7	0.67	7.51	0.13	5.81	1.03	1821.56	1699.1	3084.4	329.01	1491.36	0	0	0.00
SF3-D128	1	177.0	11.470	11469685	0	29.9	24.70	0.0	86.6	5.13	19.57	16.15	0.66	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	570.34	544.4	1082.2	119.74	449.93	0	0	100.00
SF3-D128	2	178.0	9.646	8681520	964613	29.9	25.45	0.0	153.4	10.41	15.04	11.74	0.67	0.03	9.89	0.0	33.8	0.55	8.38	0.96	6.87	0.95	759.15	710.0	1565.3	168.84	589.52	0	11	100.00
SF3-D128	3	177.4	5.294	0	5294408	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.53	0.0	37.6	0.67	7.72	0.13	5.98	1.06	1498.73	1409.0	2482.0	267.36	1230.13	0	0	0.00
SF3-C1	1	177.8	10.868	10867949	0	29.9	13.89	0.0	46.6	0.12	13.77	10.83	0.59	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	696.45	665.2	1333.0	142.14	553.70	0	0	100.00
SF3-C1	2	177.8	9.321	8389216	932135	29.9	12.01	0.0	40.5	0.18	11.83	9.18	0.67	0.02	9.96	0.0	38.3	0.50	8.59	0.87	7.20	0.86	787.02	739.7	1633.8	177.94	608.34	0	15	100.00
SF3-C1	3	176.9	5.629	0	5628989	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.11	0.0	32.6	0.66	7.33	0.13	5.66	1.01	2313.45	2134.0	18446744073709552.0	434.82	1877.46	0	0	0.00
